,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,01,Canada,2016A000011124,01,Canada,,Population,1000,1.1.1,0,"Population, 2016",1.0,,35151728.0,,,...,,...
1,01,Canada,2016A000011124,01,Canada,,Population,1001,1.1.2,0,"Population, 2011",1.0,,33476688.0,,,...,,...
2,01,Canada,2016A000011124,01,Canada,,Population,1002,1.1.3,0,"Population percentage change, 2011 to 2016",,,5.0,,,...,,...
3,01,Canada,2016A000011124,01,Canada,,Population,1003,1.1.4,0,Total private dwellings,2.0,,15412443.0,,,...,,...
4,01,Canada,2016A000011124,01,Canada,,Population,1004,1.1.5,0,Private dwellings occupied by usual residents,3.0,,14072079.0,,,...,,...
5,01,Canada,2016A000011124,01,Canada,,Population,1005,1.1.6,0,Population density per square kilometre,,,3.9,,,...,,...
6,01,Canada,2016A000011124,01,Canada,,Population,1006,1.1.7,0,Land area in square kilometres,,,8965588.85,,,...,,...
7,01,Canada,2016A000011124,01,Canada,,Population,2000,1.2.1,0,Total - Age groups and average age of the population - 100% data,4.0,,35151730.0,,17264200.0,,17887530.0,
8,01,Canada,2016A000011124,01,Canada,,Population,2001,1.2.1.1,1,  0 to 14 years,,,5839565.0,,2992920.0,,2846645.0,
9,01,Canada,2016A000011124,01,Canada,,Population,2002,1.2.1.1.1,2,    0 to 4 years,,,1898790.0,,973030.0,,925760.0,
10,01,Canada,2016A000011124,01,Canada,,Population,2003,1.2.1.1.2,2,    5 to 9 years,,,2018130.0,,1034685.0,,983445.0,
11,01,Canada,2016A000011124,01,Canada,,Population,2004,1.2.1.1.3,2,    10 to 14 years,,,1922645.0,,985200.0,,937445.0,
12,01,Canada,2016A000011124,01,Canada,,Population,2005,1.2.1.2,1,  15 to 64 years,,,23376530.0,,11576130.0,,11800400.0,
13,01,Canada,2016A000011124,01,Canada,,Population,2006,1.2.1.2.1,2,    15 to 19 years,,,2026160.0,,1039215.0,,986940.0,
14,01,Canada,2016A000011124,01,Canada,,Population,2007,1.2.1.2.2,2,    20 to 24 years,,,2242690.0,,1144495.0,,1098200.0,
15,01,Canada,2016A000011124,01,Canada,,Population,2008,1.2.1.2.3,2,    25 to 29 years,,,2285990.0,,1144470.0,,1141515.0,
16,01,Canada,2016A000011124,01,Canada,,Population,2009,1.2.1.2.4,2,    30 to 34 years,,,2329395.0,,1148290.0,,1181110.0,
17,01,Canada,2016A000011124,01,Canada,,Population,2010,1.2.1.2.5,2,    35 to 39 years,,,2288365.0,,1118635.0,,1169730.0,
18,01,Canada,2016A000011124,01,Canada,,Population,2011,1.2.1.2.6,2,    40 to 44 years,,,2255135.0,,1104440.0,,1150695.0,
19,01,Canada,2016A000011124,01,Canada,,Population,2012,1.2.1.2.7,2,    45 to 49 years,,,2359965.0,,1157760.0,,1202210.0,
20,01,Canada,2016A000011124,01,Canada,,Population,2013,1.2.1.2.8,2,    50 to 54 years,,,2678075.0,,1318755.0,,1359320.0,
21,01,Canada,2016A000011124,01,Canada,,Population,2014,1.2.1.2.9,2,    55 to 59 years,,,2620240.0,,1285190.0,,1335055.0,
22,01,Canada,2016A000011124,01,Canada,,Population,2015,1.2.1.2.10,2,    60 to 64 years,,,2290510.0,,1114885.0,,1175630.0,
23,01,Canada,2016A000011124,01,Canada,,Population,2016,1.2.1.3,1,  65 years and over,,,5935630.0,,2695150.0,,3240485.0,
24,01,Canada,2016A000011124,01,Canada,,Population,2017,1.2.1.3.1,2,    65 to 69 years,,,1972480.0,,953075.0,,1019405.0,
25,01,Canada,2016A000011124,01,Canada,,Population,2018,1.2.1.3.2,2,    70 to 74 years,,,1420875.0,,677975.0,,742900.0,
26,01,Canada,2016A000011124,01,Canada,,Population,2019,1.2.1.3.3,2,    75 to 79 years,,,1021850.0,,469550.0,,552300.0,
27,01,Canada,2016A000011124,01,Canada,,Population,2020,1.2.1.3.4,2,    80 to 84 years,,,749650.0,,325765.0,,423880.0,
28,01,Canada,2016A000011124,01,Canada,,Population,2021,1.2.1.3.5,2,    85 years and over,,,770780.0,,268790.0,,501990.0,
29,01,Canada,2016A000011124,01,Canada,,Population,2022,1.2.1.3.5.1,3,      85 to 89 years,,,482525.0,,185535.0,,296990.0,
30,01,Canada,2016A000011124,01,Canada,,Population,2023,1.2.1.3.5.2,3,      90 to 94 years,,,223510.0,,68675.0,,154835.0,
31,01,Canada,2016A000011124,01,Canada,,Population,2024,1.2.1.3.5.3,3,      95 to 99 years,,,56525.0,,13240.0,,43280.0,
32,01,Canada,2016A000011124,01,Canada,,Population,2025,1.2.1.3.5.4,3,      100 years and over,,,8230.0,,1340.0,,6890.0,
33,01,Canada,2016A000011124,01,Canada,,Population,2027,1.2.2,0,Total - Distribution (%) of the population by broad age groups - 100% data,,,100.0,,100.0,,100.0,
34,01,Canada,2016A000011124,01,Canada,,Population,2028,1.2.2.1,1,  0 to 14 years,,,16.6,,17.3,,15.9,
35,01,Canada,2016A000011124,01,Canada,,Population,2029,1.2.2.2,1,  15 to 64 years,,,66.5,,67.1,,66.0,
36,01,Canada,2016A000011124,01,Canada,,Population,2030,1.2.2.3,1,  65 years and over,,,16.9,,15.6,,18.1,
37,01,Canada,2016A000011124,01,Canada,,Population,2031,1.2.2.3.1,2,    85 years and over,,,2.2,,1.6,,2.8,
38,01,Canada,2016A000011124,01,Canada,,Population,2032,1.2.3,0,Average age of the population,,,41.0,,40.1,,41.9,
39,01,Canada,2016A000011124,01,Canada,,Population,2033,1.2.4,0,Median age of the population,,,41.2,,40.2,,42.2,
0,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1000,1.1.1,0,"Population, 2016",1.0,,519716.0,,,...,,...
1,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1001,1.1.2,0,"Population, 2011",1.0,,514536.0,,,...,,...
2,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1002,1.1.3,0,"Population percentage change, 2011 to 2016",,,1.0,,,...,,...
3,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1003,1.1.4,0,Total private dwellings,2.0,,265739.0,,,...,,...
4,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1004,1.1.5,0,Private dwellings occupied by usual residents,3.0,,218673.0,,,...,,...
5,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1005,1.1.6,0,Population density per square kilometre,,,1.4,,,...,,...
6,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,1006,1.1.7,0,Land area in square kilometres,,,370514.08,,,...,,...
7,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2000,1.2.1,0,Total - Age groups and average age of the population - 100% data,4.0,,519715.0,,253930.0,,265790.0,
8,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2001,1.2.1.1,1,  0 to 14 years,,,74440.0,,38200.0,,36240.0,
9,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2002,1.2.1.1.1,2,    0 to 4 years,,,22365.0,,11430.0,,10930.0,
10,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2003,1.2.1.1.2,2,    5 to 9 years,,,26040.0,,13430.0,,12605.0,
11,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2004,1.2.1.1.3,2,    10 to 14 years,,,26035.0,,13340.0,,12700.0,
12,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2005,1.2.1.2,1,  15 to 64 years,,,344245.0,,168555.0,,175695.0,
13,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2006,1.2.1.2.1,2,    15 to 19 years,,,27255.0,,13980.0,,13275.0,
14,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2007,1.2.1.2.2,2,    20 to 24 years,,,27700.0,,13915.0,,13785.0,
15,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2008,1.2.1.2.3,2,    25 to 29 years,,,28245.0,,14095.0,,14150.0,
16,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2009,1.2.1.2.4,2,    30 to 34 years,,,29405.0,,14185.0,,15215.0,
17,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2010,1.2.1.2.5,2,    35 to 39 years,,,30740.0,,14555.0,,16185.0,
18,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2011,1.2.1.2.6,2,    40 to 44 years,,,34505.0,,16745.0,,17765.0,
19,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2012,1.2.1.2.7,2,    45 to 49 years,,,38665.0,,18740.0,,19920.0,
20,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2013,1.2.1.2.8,2,    50 to 54 years,,,42620.0,,20730.0,,21890.0,
21,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2014,1.2.1.2.9,2,    55 to 59 years,,,43080.0,,21035.0,,22045.0,
22,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2015,1.2.1.2.10,2,    60 to 64 years,,,42025.0,,20570.0,,21460.0,
23,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2016,1.2.1.3,1,  65 years and over,,,101025.0,,47170.0,,53855.0,
24,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2017,1.2.1.3.1,2,    65 to 69 years,,,37485.0,,18310.0,,19180.0,
25,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2018,1.2.1.3.2,2,    70 to 74 years,,,26170.0,,12720.0,,13445.0,
26,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2019,1.2.1.3.3,2,    75 to 79 years,,,16950.0,,8015.0,,8935.0,
27,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2020,1.2.1.3.4,2,    80 to 84 years,,,11060.0,,4885.0,,6175.0,
28,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2021,1.2.1.3.5,2,    85 years and over,,,9360.0,,3245.0,,6125.0,
29,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2022,1.2.1.3.5.1,3,      85 to 89 years,,,6175.0,,2300.0,,3875.0,
30,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2023,1.2.1.3.5.2,3,      90 to 94 years,,,2485.0,,790.0,,1695.0,
31,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2024,1.2.1.3.5.3,3,      95 to 99 years,,,610.0,,140.0,,475.0,
32,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2025,1.2.1.3.5.4,3,      100 years and over,,,90.0,,20.0,,75.0,
33,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2027,1.2.2,0,Total - Distribution (%) of the population by broad age groups - 100% data,,,100.0,,100.0,,100.0,
34,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2028,1.2.2.1,1,  0 to 14 years,,,14.3,,15.0,,13.6,
35,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2029,1.2.2.2,1,  15 to 64 years,,,66.2,,66.4,,66.1,
36,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2030,1.2.2.3,1,  65 years and over,,,19.4,,18.6,,20.3,
37,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2031,1.2.2.3.1,2,    85 years and over,,,1.8,,1.3,,2.3,
38,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2032,1.2.3,0,Average age of the population,,,43.7,,42.9,,44.4,
39,10,Newfoundland and Labrador,2016A000210,10,Newfoundland and Labrador,,Population,2033,1.2.4,0,Median age of the population,,,46.0,,45.4,,46.6,
0,11,Prince Edward Island,2016A000211,11,Prince Edward Island,,Population,1000,1.1.1,0,"Population, 2016",1.0,,142907.0,,,...,,...
1,11,Prince Edward Island,2016A000211,11,Prince Edward Island,,Population,1001,1.1.2,0,"Population, 2011",1.0,,140204.0,,,...,,...
2,11,Prince Edward Island,2016A000211,11,Prince Edward Island,,Population,1002,1.1.3,0,"Population percentage change, 2011 to 2016",,,1.9,,,...,,...
